platform,title,url,price,price_type,status,morph,traits,sex,weight_g,image_url,classification_mode,status_evidence,review_reason
파사모,대구) 고퀄 트라이 암 분양합니다. 3. 성별 : 암컷,https://cafe.naver.com/f-e/cafes/12440585/articles/5609785#item-1,100000,FIXED,ACTIVE,할리퀸,트라이컬러,FEMALE,,,EXPLICIT,VISIBLE_OFFER_NO_COMPLETION,EXPLICIT_ITEM_FIXED_PRICE
파사모,예쁜 아잔틱 베이비 저렴 분양합니다 3. 성별 : 미구분,https://cafe.naver.com/f-e/cafes/12440585/articles/5609779#item-1,200000,FIXED,ACTIVE,아잔틱,,UNKNOWN,,,EXPLICIT,VISIBLE_OFFER_NO_COMPLETION,EXPLICIT_ITEM_FIXED_PRICE
파사모,세이블 헷100 분양합니다 2g,https://cafe.naver.com/f-e/cafes/12440585/articles/5609772#item-1,50000,FIXED,ACTIVE,세이블,,UNKNOWN,2,,EXPLICIT,VISIBLE_OFFER_NO_COMPLETION,EXPLICIT_ITEM_FIXED_PRICE
파사모,귀여운 트라이 자글자글 할리퀸😎 저렴분양 3. 성별 : 미구분,https://cafe.naver.com/f-e/cafes/12440585/articles/5609767#item-1,100000,FIXED,ACTIVE,할리퀸,트라이컬러,UNKNOWN,,,EXPLICIT,VISIBLE_OFFER_NO_COMPLETION,EXPLICIT_ITEM_FIXED_PRICE
파사모,No.A01 성별 : 숫컷,https://cafe.naver.com/f-e/cafes/12440585/articles/5609758#no-a01,200000,FIXED,ACTIVE,,,MALE,,,UNCLASSIFIED,VISIBLE_OFFER_NO_COMPLETION,EXPLICIT_ITEM_FIXED_PRICE
파사모,No.A02 성별 : 암컷,https://cafe.naver.com/f-e/cafes/12440585/articles/5609758#no-a02,220000,FIXED,ACTIVE,,,FEMALE,,,UNCLASSIFIED,VISIBLE_OFFER_NO_COMPLETION,EXPLICIT_ITEM_FIXED_PRICE
파사모,25.09.12 메인 트익할 수컷,https://cafe.naver.com/f-e/cafes/12440585/articles/5609749#item-1,100000,FIXED,ACTIVE,할리퀸,트라이컬러|익스트림,MALE,,,EXPLICIT,VISIBLE_OFFER_NO_COMPLETION,EXPLICIT_ITEM_FIXED_PRICE
파사모,26.04.11 릴리 미구분,https://cafe.naver.com/f-e/cafes/12440585/articles/5609749#item-2,50000,FIXED,ACTIVE,릴리화이트,,UNKNOWN,,,EXPLICIT,VISIBLE_OFFER_NO_COMPLETION,EXPLICIT_ITEM_FIXED_PRICE
파사모,25.10.12 텐저린트익할 암컷,https://cafe.naver.com/f-e/cafes/12440585/articles/5609749#item-3,150000,FIXED,ACTIVE,할리퀸,트라이컬러|익스트림,FEMALE,,,EXPLICIT,VISIBLE_OFFER_NO_COMPLETION,EXPLICIT_ITEM_FIXED_PRICE
파사모,25.10.12 백질까지 좋은 메인 수컷,https://cafe.naver.com/f-e/cafes/12440585/articles/5609749#item-4,500000,FIXED,ACTIVE,,,MALE,,,UNCLASSIFIED,VISIBLE_OFFER_NO_COMPLETION,EXPLICIT_ITEM_FIXED_PRICE
